Branch,Season,Type,Sample,Temp,Turbidity,Colour,pH,Alkalinity,Hardness,Iron,Ammonia,Chloride
Tripureshwor,Winter,Tap water,Treated,18.30,2.10,1.90,7.80,208.00,87.00,0.10,0.24,16.42
Tripureshwor,Winter,Tap water,Treated,18.90,1.90,3.30,6.50,109.00,348.00,0.50,0.38,19.53
Tripureshwor,Winter,Tap water,Treated,21.60,3.20,2.10,8.50,98.00,301.00,0.80,0.33,82.12
Tripureshwor,Winter,Tap water,Treated,22.10,4.20,2.20,8.60,96.00,289.00,0.10,0.48,88.11
Tripureshwor,Winter,Tap water,Treated,18.50,2.10,2.90,6.50,183.00,198.00,0.40,0.71,81.22
Tripureshwor,Winter,Tap water,Treated,17.50,1.30,1.20,6.50,126.00,203.00,0.60,0.24,92.11
Tripureshwor,Winter,Tap water,Treated,22.10,1.50,2.10,7.30,159.00,195.00,0.30,0.26,91.12
Tripureshwor,Winter,Tap water,Treated,23.10,8.40,6.90,6.90,193.00,201.00,0.30,0.36,87.20
Tripureshwor,Winter,Tap water,Treated,20.10,1.20,1.20,7.80,81.00,97.00,0.30,0.21,83.10
Tripureshwor,Winter,Tap water,Treated,19.10,2.10,2.80,8.20,89.00,123.00,0.30,0.41,84.12
Tripureshwor,Winter,Tap water,Treated,18.60,1.20,1.20,8.10,121.00,144.00,0.20,0.31,94.11
Tripureshwor,Winter,Tap water,Treated,17.90,3.30,3.20,8.00,122.00,156.00,0.40,0.26,16.12
Tripureshwor,Winter,Tap water,Treated,19.80,1.90,1.30,8.30,201.00,192.00,0.10,0.11,17.12
Baneshwor,Winter,Tap water,Treated,18.80,1.90,1.23,8.10,206.00,311.00,0.30,0.16,12.87
Baneshwor,Winter,Tap water,Treated,19.20,2.10,0.98,7.60,201.00,78.00,0.60,3.11,10.89
Baneshwor,Winter,Tap water,Treated,18.20,2.80,1.41,8.30,101.00,68.00,0.40,0.31,11.90
Baneshwor,Winter,Tap water,Treated,17.20,1.20,0.16,8.40,97.00,86.00,0.10,0..25,82.11
Baneshwor,Winter,Tap water,Treated,18.20,1.50,0.12,8.50,189.00,81.00,0.10,0.35,61.20
Baneshwor,Winter,Tap water,Treated,18.90,2.10,0.46,8.30,97.00,92.00,0.30,2.15,41.21
Baneshwor,Winter,Tap water,Treated,17.90,6.10,5.19,7.50,93.00,110.00,0.40,0.36,60.13
Baneshwor,Winter,Tap water,Treated,19.30,1.10,1.21,6.90,81.00,93.00,0.10,0.76,12.17
Baneshwor,Winter,Tap water,Treated,18.90,4.10,3.12,7.50,133.00,98.00,0.10,0.78,18.11
Baneshwor,Winter,Tap water,Treated,19.20,1.20,2.13,6.90,166.00,119.00,0.60,0.92,19.15
Baneshwor,Winter,Tap water,Treated,20.10,1.60,2.23,7.40,156.00,126.00,0.30,2.11,11.13
Baneshwor,Winter,Tap water,Treated,21.40,2.20,1.24,8.20,173.00,131.00,0.50,3.10,71.81
Baneshwor,Winter,Tap water,Treated,19.20,3.20,2.13,8.40,179.00,87.00,0.70,3.11,70.11
Baneshwor,Winter,Tap water,Treated,19.60,1.20,1.29,8.40,181.00,89.00,0.30,3.12,61.21
Baneshwor,Winter,Tap water,Treated,18.70,1.50,2.92,8.10,192.00,134.00,0.50,1.11,12.16
Bansbari,Winter,Tap water,Treated,18.20,2.10,1.32,7.80,81.00,88.00,0.00,0.14,13.81
Bansbari,Winter,Tap water,Treated,17.30,1.20,0.14,6.50,201.00,71.00,0.00,3.76,12.12
Bansbari,Winter,Tap water,Treated,16.30,1.90,0.17,6.30,98.00,69.00,0.10,3.81,15.13
Bansbari,Winter,Tap water,Treated,20.30,1.50,1.21,8.10,71.00,75.00,0.10,3.02,82.12
Bansbari,Winter,Tap water,Treated,21.20,3.20,0.34,7.10,89.00,305.00,0.10,0.24,76.11
Bansbari,Winter,Tap water,Treated,20.10,4.40,1.11,7.90,101.00,81.00,0.40,0.39,63.20
